0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,1
10.5,1
11,1
11.5,1
12,1
12.5,1
13,1
13.5,1
14,1
14.5,1
15,1
15.5,1
16,1
16.5,1
17,1
17.5,1
18,1
18.5,1
19,1
19.5,1
20,1
20.5,1
21,1
21.5,1
22,1
22.5,1
23,1
23.5,1
24,1
24.5,1
25,1
25.5,1
26,1
26.5,1
27,1
27.5,1
28,1
28.5,1
29,1
29.5,1
30,1
30.5,1
31,1
31.5,1
32,1
32.5,1
33,1
33.5,1
34,1
34.5,1
35,1
35.5,1
36,1
36.5,1
37,1
37.5,1
38,1
38.5,1
39,1
39.5,1
40,1
40.5,1
41,1
41.5,1
42,1
42.5,1
43,1
43.5,1
44,1
44.5,1
45,1
45.5,1
46,1
46.5,1
47,1
47.5,1
48,1
48.5,1
49,1
49.5,1
50,1
50.5,1
51,1
51.5,1
52,1
52.5,1
53,1
53.5,1
54,1
54.5,1
55,1
55.5,1
56,1
56.5,1
57,1
57.5,1
58,1
58.5,1
59,1
59.5,1
60,1
60.5,1
61,1
61.5,1
62,1
62.5,1
63,1
63.5,1
64,1
64.5,1
65,1
65.5,1
66,1
66.5,1
67,1
67.5,1
68,1
68.5,1
69,1
69.5,1
70,1
70.5,1
71,1
71.5,1
72,1
72.5,1
73,1
73.5,1
74,1
74.5,1
75,1
75.5,1
76,1
76.5,1
77,1
77.5,1
78,1
78.5,1
79,1
79.5,1
80,1
80.5,1
81,1
81.5,1
82,1
82.5,1
83,1
83.5,1
84,1
84.5,1
85,1
85.5,1
86,1
86.5,1
87,1
87.5,1
88,1
88.5,1
89,1
89.5,1
90,1
90.5,1
91,1
91.5,1
92,1
92.5,1
93,1
93.5,1
94,1
94.5,1
95,1
95.5,1
96,1
96.5,1
97,1
97.5,1
98,1
98.5,1
99,1
99.5,1
100,1
100.5,1
101,1
101.5,1
102,1
102.5,1
103,1
103.5,1
104,1
104.5,1
105,1
105.5,1
106,1
106.5,1
107,1
107.5,1
108,1
108.5,1
109,1
109.5,1
110,1
110.5,1
111,1
111.5,1
112,1
112.5,1
113,1
113.5,1
114,1
114.5,1
115,1
115.5,1
116,1
116.5,1
117,1
117.5,1
118,1
118.5,1
119,1
119.5,1
120,1
120.5,1
121,1
121.5,1
122,1
122.5,1
123,1
123.5,1
124,1
124.5,1
125,1
125.5,1
126,1
126.5,1
127,1
127.5,1
128,1
128.5,1
129,1
129.5,1
130,1
130.5,1
131,1
131.5,1
132,1
132.5,1
133,1
133.5,1
134,1
134.5,1
135,1
135.5,1
136,1
136.5,1
137,1
137.5,1
138,1
138.5,1
139,1
139.5,1
140,1
140.5,1
141,1
141.5,1
142,1
142.5,1
143,1
143.5,1
144,1
144.5,1
145,1
145.5,1
146,1
146.5,1
147,1
147.5,1
148,1
148.5,1
149,1
149.5,1
150,1
150.5,1
151,1
151.5,1
152,1
152.5,1
153,1
153.5,1
154,1
154.5,1
155,1
155.5,1
156,1
156.5,1
157,1
157.5,1
158,1
158.5,1
159,1
159.5,1
160,1
160.5,1
161,1
161.5,1
162,1
162.5,1
163,1
163.5,1
164,1
164.5,1
165,1
165.5,1
166,1
166.5,1
167,1
167.5,1
168,1
168.5,1
169,1
169.5,1
170,1
170.5,1
171,1
171.5,1
172,1
172.5,1
173,1
173.5,1
174,1
174.5,1
175,1
175.5,1
176,1
176.5,1
177,1
177.5,1
178,1
178.5,1
179,1
179.5,1
180,1
180.5,1
181,1
181.5,1
182,1
182.5,1
183,1
183.5,1
184,1
184.5,1
185,1
185.5,1
186,1
186.5,1
187,1
187.5,1
188,1
188.5,1
189,1
189.5,1
190,1
190.5,1
191,1
191.5,1
192,1
192.5,1
